,VEGFA,FGF1,Cluster
TCGA-BS-A0U8-01A-11R-A104-07,7.91755937811084,1.1244213363600637,1
TCGA-AX-A064-01A-11R-A00V-07,8.00547351447066,1.8344384094669048,1
TCGA-BS-A0UM-01A-11R-A104-07,6.25919620884264,1.39200589779131,1
TCGA-D1-A163-01A-11R-A12I-07,7.681576797665738,2.6053380557173327,1
TCGA-EY-A1GK-01A-11R-A13S-07,6.309686457438544,0.9900567632219704,1
TCGA-AX-A3G3-01A-11R-A213-07,7.726250228433735,1.014424033131148,1
TCGA-BG-A222-01A-11R-A157-07,9.351656699810118,1.069658207171589,1
TCGA-BK-A13B-01A-51R-A22K-07,7.4087238485951,0.3361050701348861,1
TCGA-B5-A1MX-01A-11R-A144-07,5.695943382647116,1.9648357361025075,1
TCGA-PG-A5BC-01A-12R-A27V-07,6.924133251012026,1.5965965780924056,1
TCGA-AP-A05J-01A-11R-A00V-07,5.620644415626708,1.025127385824962,1
TCGA-D1-A15V-01A-11R-A118-07,7.087592565465326,1.5841679692028827,1
TCGA-D1-A17Q-01A-11R-A12I-07,5.552777797740567,2.9329396805057497,1
TCGA-EO-A2CH-01A-11R-A180-07,6.870226073160292,0.7347387302231225,1
TCGA-BS-A0V7-01A-21R-A118-07,4.20154729373576,0.7182405851999457,1
TCGA-B5-A5OD-01A-11R-A31O-07,4.472556471138146,1.7754207802516333,1
TCGA-D1-A2G6-01A-11R-A17B-07,7.709552929208673,0.9831417515407516,1
TCGA-AJ-A3OJ-01A-11R-A22K-07,5.644861505375138,0.5883189310087448,1
TCGA-EY-A1GT-01A-11R-A13S-07,8.305975708401894,1.7415948364509346,1
TCGA-EY-A2OM-01A-11R-A18M-07,8.441249641521736,0.9282260512556668,1
TCGA-FI-A2F8-01A-12R-A17B-07,7.579440444714847,2.393299891145062,1
TCGA-AX-A05T-01A-11R-A00V-07,6.453633959930519,2.507227772236359,1
TCGA-EY-A1GL-01A-11R-A13S-07,7.581105796579544,0.5033648627939276,1
TCGA-D1-A16Q-01A-12R-A12I-07,5.966397837484744,2.685005865567535,1
TCGA-AX-A05U-01A-11R-A00V-07,7.651455999921586,1.7537680552312012,1
TCGA-EY-A1GO-01A-11R-A14D-07,4.1625464102498455,0.4262800133468655,1
TCGA-A5-A0GA-01A-11R-A040-07,6.160484630144847,0.6259176678760232,1
TCGA-QF-A5YT-01A-11R-A31O-07,5.436242507337549,0.6613677114232723,1
TCGA-AP-A0LI-01A-11R-A040-07,5.928472525229334,1.881749289758624,1
TCGA-AX-A1C8-01A-11R-A137-07,6.020889387003412,0.8220688683281187,1
TCGA-EO-A3AV-01A-12R-A19W-07,6.129636149489648,0.846865303754935,1
TCGA-EO-A22U-01A-11R-A180-07,5.926488749727985,0.8600977812694429,1
TCGA-BK-A139-02A-11R-A27V-07,8.037645282359728,2.019263157641591,1
TCGA-BK-A0CA-01A-21R-A118-07,5.4497932020207625,2.440975428927999,1
TCGA-A5-A1OK-01A-11R-A14M-07,6.33590209704064,0.5370427239579345,1
TCGA-BK-A0CC-01A-21R-A16W-07,6.532668866626307,0.4495951624293642,1
TCGA-EO-A3B1-01A-12R-A19W-07,6.29151556291502,3.5025362920761065,0
TCGA-AP-A1DH-01A-31R-A137-07,6.870683316525265,0.732921923277535,1
TCGA-D1-A177-01A-21R-A12I-07,8.630968924435837,1.597214645019067,1
TCGA-D1-A16X-01A-11R-A12I-07,6.36862954610828,0.9704193023671928,1
TCGA-D1-A17N-01A-11R-A12I-07,5.29494461549848,1.991562484230193,1
TCGA-FI-A2D6-01A-11R-A17B-07,6.24492091758531,0.114909908546891,1
TCGA-AX-A0IU-01A-11R-A16W-07,5.729844002673342,1.5662345385433345,1
